word,phonetic,meaning,part_of_speech,level
studio,/ˈstuːdioʊ/,工作室；演播室,n.,B1
stuff,/stʌf/,东西；材料,n.,B1
substance,/ˈsʌbstəns/,物质；实质,n.,B1
successfully,/səkˈsesfəli/,成功地,adv.,B1
sudden,/ˈsʌdən/,突然的,adj.,B1
suffer,/ˈsʌfər/,遭受；受苦,v.,B1
suit,/suːt/,适合；套装,v.,B1
suitable,/ˈsuːtəbəl/,合适的,adj.,B1
summarize,/ˈsʌməraɪz/,总结；概括,v.,B1
summary,/ˈsʌməri/,总结；摘要,n.,B1
supply,/səˈplaɪ/,供应；供给,"n., v.",B1
supporter,/səˈpɔrtər/,支持者,n.,B1
surely,/ˈʃʊrli/,当然；肯定地,adv.,B1
surface,/ˈsɝːfɪs/,表面,n.,B1
survive,/sərˈvaɪv/,生存；幸存,v.,B1
swim,/swɪm/,游泳,n.,B1
switch,/swɪtʃ/,开关；转换,v.,B1
symptom,/ˈsɪmptəm/,症状,n.,B1
tail,/teɪl/,尾巴；末尾,n.,B1
talent,/ˈtælənt/,才能；天赋,n.,B1
talented,/ˈtæləntɪd/,有才能的,adj.,B1
tape,/teɪp/,胶带；磁带,n.,B1
tax,/tæks/,税；税款,"n., v.",B1
technical,/ˈtɛknɪkəl/,技术的,adj.,B1
technique,/tɛkˈniːk/,技术；技巧,n.,B1
tend,/tɛnd/,往往；倾向于,v.,B1
tent,/tɛnt/,帐篷,n.,B1
that,/ðæt/,那个；那,adv.,B1
theirs,/ðɛrz/,他们的,pron.,B1
theme,/θiːm/,主题,n.,B1
theory,/ˈθiːəri/,理论,n.,B1
therefore,/ˈðɛrfɔr/,因此；所以,adv.,B1
this,/ðɪs/,这个,adv.,B1
though,/ðoʊ/,虽然；不过,"conj., adv.",B1
throat,/θroʊt/,喉咙,n.,B1
throughout,/θruˈaʊt/,遍及；贯穿,prep./adv.,B1
tight,/taɪt/,紧的；紧密的,adj.,B1
till,/tɪl/,直到,conj./prep.,B1
tiny,/ˈtaɪni/,极小的,adj.,B1
tip,/tɪp/,尖端；小费；提示,v.,B1
tire,/taɪr/,使疲劳；轮胎,n.,B1
toe,/toʊ/,脚趾,n.,B1
ton,/tʌn/,吨,n.,B1
